TS-DDR,TS-LDR,SDDP-DCLL,SDDP-SOC,TS-DDR (strict)
147.0247133419527,299.7450624492452,100.8484585807442,209.86380882088514,234.75510980001854
157.58814081813028,225.6675464897668,104.86242775104952,209.53839385906838,205.21989985849396
185.43371546547627,180.7943849292062,107.48502989328503,209.52017504171553,208.67816647888662
199.3134646164604,199.83572444735833,107.55475020324891,209.4783394659705,212.22482561872755
206.61858480532382,231.35910431382658,106.18650990754062,209.52518234738324,212.55023309260963
214.3697084291256,189.64814901428522,113.67317158934263,209.6034477390574,214.5326077382685
187.9473304345247,241.6103392896273,116.58714528380276,209.65384702850434,212.99020182480024
171.46565827999535,187.4542766440176,129.25366035880148,209.51238800566185,212.91458967596776
170.2002528391322,233.150743363177,114.76063596215229,209.45259355985954,208.08679618187475
182.98142893312487,185.52122552406792,109.93768423864336,209.34525985187597,205.24871965873155
202.19901785621693,215.06714163113537,116.98303295186679,209.44039837517906,203.72363105705048
193.96716199312775,199.9910790500363,121.32762963754153,209.3672289663951,200.20688302172906
193.52811950138334,205.21889018439646,118.81044678071419,209.32163376554064,196.2013393001419
195.13814426290378,184.97486998527484,140.68919880246779,209.6614054735699,197.97739148855652
226.57039256458856,167.1372529242544,157.98870219622455,210.19631956661485,204.08186126947413
248.08925112087996,177.07636222131532,182.13344732161957,210.70698165532528,211.34080332566114
233.5593017377245,206.24124265365077,213.25680127887568,211.4401169112003,214.69061359629825
212.98635880030474,203.58562602361448,219.65332808686793,211.48105832602775,216.9537815779875
208.1182840666282,225.62114837627547,215.53856096654266,211.94334659983778,216.71582598859962
205.87501153760303,282.5815380137001,218.69325537706618,211.8784711569352,215.89358174848533
218.77529830243512,261.2652681819222,229.70401987822862,211.85037808628837,216.02104060586097
219.5621182240177,228.86267450841828,233.80086503295337,212.00653608776338,214.14628642224545
215.15355785846822,278.8379771241615,219.9540629779893,211.71653085812682,212.6755011855709
225.44578342326264,208.6334543644992,227.25750181666496,211.72866526590903,211.23043099837014
216.46699729157837,233.62842636523723,228.98664748977347,211.79095480066385,210.62464082200245
210.99855030225916,236.77260170176334,245.24308942520355,211.9396216916039,207.20024451574864
200.82120574954234,257.832718296366,266.63858091994916,212.2412014072736,206.69466050470263
217.00901852303974,206.80316405135653,287.580525250383,211.96614587275292,208.17775695655894
205.60116177559695,247.22715853816413,288.43119570669523,212.0593948656155,204.3539449275232
204.48717949362427,242.7626603477798,295.40865231198757,212.13189528353013,202.55758447677093
215.01700896149435,264.8798596812393,316.4539931784796,212.48730840572054,199.11725065355355
194.39594990932568,253.05048627557306,329.7940889425171,212.170191104127,195.65711788490407
212.44246770637898,281.106369677497,327.59228806131625,212.68099082676446,194.0820072522097
218.88119237987075,264.11335838123404,330.87683426769047,212.9854607332948,192.80649624294819
209.54103152313093,265.672452188459,320.54817802711284,212.90364434114954,193.0831439581086
232.50511220115487,242.47928625172216,336.16459151820277,212.98400917882333,196.4114335422718
246.55559517109822,250.15790720527644,328.4530145309637,212.90706046302626,195.7154775743919
259.1804770347488,241.4580174607301,306.6623006700101,212.78491180246007,204.36404255970675
243.65212407401336,216.2392032573588,311.05102021329515,213.50440427222605,212.99514061661503
268.3327047244221,244.87238185642838,313.43043807340126,214.71903130733853,236.7242644845188
259.25135590920064,212.7607093726518,289.6446657672623,215.71309550713656,241.09270312524015
239.7596346992519,211.60973323507133,236.34688350288008,214.21514981807115,220.01759022231735
225.1627151901455,224.31226414469103,227.41520899884554,214.14602835221518,209.14147269754804
226.300220128706,190.17002437882283,237.60749837482643,213.05570166141047,210.69197950461563
246.5897657016228,197.34726823968018,242.14935260524663,214.3397929974062,228.55661937313394
200.45447214778832,159.42600322266816,217.0164054870767,212.87589299860522,212.37433911366224
177.65036023699594,199.6529727342857,200.46699991530508,210.512610777988,202.5465164778937
152.7449270008933,184.7732720253377,215.7682105980341,208.87860648289214,219.84564553814513
116.54920043933797,185.46879418205066,111.6333307935832,205.95870346385465,216.92116471391626
118.11835868140619,166.0896692911,101.80408752144571,205.70698904522408,215.35769556857792
135.40331893488192,159.49003675324482,106.15347696391866,205.4160873909239,210.9321344651103
165.39822644830028,182.5511233035246,108.92328402254266,205.59700933991252,215.10732360430717
164.63498605950215,157.20350355656583,103.94596690664551,205.58479725277505,213.53337186715123
